UNITID,LCOLELYN,XLPBOOKS,LPBOOKS,XLEBOOKS,LEBOOKS,XLEDATAB,LEDATAB,XLPMEDIA,LPMEDIA,XLEMEDIA,LEMEDIA,XLPCOLLC,LPCLLCT,XLECOLLC,LECLLCT,XLTCLLCT,LTCLLCT,XLPCRCLT,LPCRCLT,XLECRCLT,LECRCLT,XLTCRCLT,LTCRCLT,XLBRANCH,LBRANCH,XSALWAG,LSALWAG,LFRNGBYN,XLFRNGBN,LFRNGBN,XLEXMSBB,LEXMSBB,XLEXMSCS,LEXMSCS,XLEXMSOT,LEXMSOT,XLEXMSTL,LEXMSTL,XLEXOMPS,LEXOMPS,XLEXOMOT,LEXOMOT,XLEXOMTL,LEXOMTL,XLEXPTOT,LEXPTOT,LSWMSOM,XLILLDPR,LILLDPR,XLILLDRC,LILLDRC,LSUPPVRS
142294,2,"R",137961,"R",17119,"R",63,"R",4351,"R",78171,"R",142312,"R",95353,"R",237665,"R",10488,"R",3686,"R",14174,"R",0,"R",208335,1,"R",48388,"R",116287,"R",162592,"R",3869,"R",282748,"R",0,"R",33298,"R",33298,"R",572769,524381,"R ",857,"R ",566, 1
142328,2,"R",147941,"R",1407,"R",77,"R",7030,"R",0,"R",154971,"R",1484,"R",156455,"R",8438,"R",45871,"R",54309,"R",0,"R",543384,1,"R",226176,"R",129198,"R",261780,"R",0,"R",390978,"R",0,"R",113294,"R",113294,"R",1273832,1047656,"R ",1024,"R ",1933, 1
142337,2,"R",182,"R",178441,"R",29,"R",61,"R",0,"R",243,"R",178470,"R",178713,"R",215,"R",1080738,"R",1080953,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
142443,2,"R",78295,"R",80,"R",60,"R",7309,"R",23352,"R",85604,"R",23492,"R",109096,"R",7672,"R",4401,"R",12073,"R",0,"R",498982,1,"R",155458,"R",68070,"R",14241,"R",174079,"R",256390,"R",0,"R",28891,"R",28891,"R",939721,784263,"R ",663,"R ",358, 1
142461,2,"R",130623,"R",141074,"R",75,"R",3678,"R",122362,"R",134301,"R",263511,"R",397812,"R",12821,"R",792,"R",13613,"R",0,"R",283416,2,"Z",0,"R",7173,"R",167624,"R",902,"R",175699,"R",537,"R",66403,"R",66940,"R",526055,526055,"R ",0,"R ",2074, 1
142522,2,"R",188595,"R",357591,"R",441,"R",21818,"R",19633,"R",210413,"R",377665,"R",588078,"R",128080,"R",226930,"R",355010,"R",0,"R",1786609,2,"R",0,"R",132024,"R",788735,"R",0,"R",920759,"R",1260,"R",138506,"R",139766,"R",2847134,2847134,"R ",493,"R ",3152, 1
142559,2,"R",71153,"R",56246,"R",54,"R",4673,"R",5265,"R",75826,"R",61565,"R",137391,"R",7961,"R",9360,"R",17321,"R",0,"R",420577,1,"R",159061,"R",24895,"R",100433,"R",341,"R",125669,"R",0,"R",51140,"R",51140,"R",756447,597386,"R ",289,"R ",480, 1
142832,2,"R",14258,"R",377576,"R",390,"R",896,"R",4797,"R",15154,"R",382763,"R",397917,"R",6054,"R",242816,"R",248870,"R",1,"R",334202,1,"R",65163,"R",13000,"R",179000,"R",0,"R",192000,"R",0,"R",278629,"R",278629,"R",869994,804831,"R ",1330,"R ",4977, 2
142887,2,"R",4344,"R",0,"R",86,"R",112,"R",0,"R",4456,"R",86,"R",4542,"R",4456,"R",86,"R",4542,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
142957,2,"R",8130,"Z",0,"R",4140,"Z",0,"Z",0,"R",8130,"R",4140,"R",12270,"R",650,"R",1130,"R",1780,"A",,"A",,-2,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,.,"A ",.,"A ",.,-2
143048,2,"R",110287,"R",203725,"R",177,"R",19541,"R",204634,"R",129828,"R",408536,"R",538364,"R",55457,"R",90742,"R",146199,"R",0,"R",900117,1,"R",222351,"R",200976,"R",154249,"R",36660,"R",391885,"R",15422,"R",109038,"R",124460,"R",1638813,1416462,"R ",10886,"R ",27886, 1
143084,2,"R",128005,"R",1100,"R",91,"R",2513,"R",9584,"R",130518,"R",10775,"R",141293,"R",12408,"R",20195,"R",32603,"R",0,"R",847896,2,"R",0,"R",33499,"R",436558,"R",44501,"R",514558,"R",4916,"R",111000,"R",115916,"R",1478370,1478370,"R ",4082,"R ",11448, 1
143118,2,"R",51754,"R",148030,"R",79,"R",5459,"R",3039,"R",57213,"R",151148,"R",208361,"R",9693,"R",0,"R",9693,"R",1,"R",545158,2,"R",0,"R",79107,"R",218988,"R",6615,"R",304710,"R",0,"R",35781,"R",35781,"R",885649,885649,"R ",3778,"R ",6330, 1
143215,2,"R",82116,"R",10084,"R",42,"R",3549,"R",16558,"R",85665,"R",26684,"R",112349,"R",14432,"R",2149,"R",16581,"R",2,"R",526010,1,"R",37852,"R",15371,"R",29152,"R",0,"R",44523,"R",0,"R",94698,"R",94698,"R",703083,665231,"R ",1816,"R ",3854, 1
143279,2,"R",31654,"R",1078,"R",52,"R",820,"R",15096,"R",32474,"R",16226,"R",48700,"R",4958,"R",563,"R",5521,"R",1,"R",274605,1,"R",73245,"R",30297,"R",61009,"R",1114,"R",92420,"R",0,"R",20403,"R",20403,"R",460673,387428,"R ",1403,"R ",1487, 1
143288,2,"R",50021,"R",2000,"R",26,"R",1259,"R",0,"R",51280,"R",2026,"R",53306,"R",5140,"R",3047,"R",8187,"R",0,"R",145604,1,"R",19382,"R",1642,"R",13879,"R",650,"R",16171,"R",500,"R",2711,"R",3211,"R",184368,164986,"R ",620,"R ",566, 1
