id,library
124,OZARK - DALE COUNTY PUBLIC LIBRARY
125,CLIO - ELTON B. STEPHENS LIBRARY
126,LOUISVILLE PUBLIC LIBRARY
127,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY
128,NEWTON PUBLIC LIBRARY
129,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY
130,TROY PUBLIC LIBRARY
131,UNION SPRINGS PUBLIC LIBRARY
132,ANDALUSIA PUBLIC LIBRARY
133,BRANTLEY PUBLIC LIBRARY
134,ELBA PUBLIC LIBRARY
135,GENEVA - EMMA KNOX KENAN LIBRARY
136,ENTERPRISE PUBLIC LIBRARY
137,FLORALA PUBLIC LIBRARY
138,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY
139,LUVERNE PUBLIC LIBRARY
140,OPP PUBLIC LIBRARY
141,SAMSON PUBLIC LIBRARY
142,SLOCOMB PUBLIC LIBRARY
143,HORSESHOE BEND REGIONAL LIBRARY
144,HORSESHOE BEND REGIONAL BOOKMOBILE
145,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY
146,MAMIE'S PLACE
147,DADEVILLE PUBLIC LIBRARY
148,GOODWATER PUBLIC LIBRARY
149,AUBURN PUBLIC LIBRARY
150,OPELIKA - LEWIS COOPER JR. MEMORIAL LIBRARY
151,MILLBROOK PUBLIC LIBRARY
152,ROCKFORD PUBLIC LIBRARY
153,TALLASSEE COMMUNITY PUBLIC LIBRARY
154,WETUMPKA PUBLIC LIBRARY
155,FLORENCE - LAUDERDALE PUBLIC LIBRARY
156,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY
157,LEIGHTON PUBLIC LIBRARY
158,MUSCLE SHOALS PUBLIC LIBRARY
159,ROGERSVILLE PUBLIC LIBRARY
160,SHEFFIELD PUBLIC LIBRARY
161,NORTHWEST REGIONAL LIBRARY
162,HAMILTON - CLYDE NIX PUBLIC LIBRARY
163,KENNEDY PUBLIC LIBRARY
164,GUIN - MCHS COMMUNITY LIBRARY
165,MILLPORT PUBLIC LIBRARY
166,RUSSELLVILLE PUBLIC LIBRARY
167,SULLIGENT PUBLIC LIBRARY
168,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY
169,RED BAY - WEATHERFORD PUBLIC LIBRARY
170,WINFIELD PUBLIC LIBRARY
171,ATHENS - LIMESTONE PUBLIC LIBRARY
172,DECATUR PUBLIC LIBRARY
173,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE
174,LAWRENCE COUNTY PUBLIC LIBRARY
175,BALDWIN COUNTY LIBRARY COOPERATIVE
176,BALDWIN COUNTY LIBRARY COOPERATIVE - BOOKMOBILE
177,DAPHNE PUBLIC LIBRARY
178,FAIRHOPE PUBLIC LIBRARY
179,FOLEY PUBLIC LIBRARY
180,BAY MINETTE PUBLIC LIBRARY
181,LOXLEY PUBLIC LIBRARY
182,OSCAR JOHNSON MEMORIAL LIBRARY
183,ROBERTSDALE PUBLIC LIBRARY
184,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY
185,ADAMSVILLE PUBLIC LIBRARY
186,BESSEMER PUBLIC LIBRARY
187,MOUNTAIN BROOK - EMMET O'NEAL LIBRARY
188,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY
189,FULTONDALE PUBLIC LIBRARY
190,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY
191,GRAYSVILLE PUBLIC LIBRARY
192,HOMEWOOD PUBLIC LIBRARY
193,HOOVER PUBLIC LIBRARY
194,HUEYTOWN PUBLIC LIBRARY
195,IRONDALE PUBLIC LIBRARY
196,LEEDS - JANE CULBRETH LIBRARY
197,MIDFIELD PUBLIC LIBRARY
198,PLEASANT GROVE PUBLIC LIBRARY
199,TARRANT PUBLIC LIBRARY
200,TRUSSVILLE PUBLIC LIBRARY
201,VESTAVIA HILLS LIBRARY IN THE FOREST
202,WARRIOR PUBLIC LIBRARY
203,BIRMINGHAM PUBLIC - AVONDALE REGIONAL LIBRARY
204,BIRMINGHAM PUBLIC - CENTRAL BRANCH
205,BIRMINGHAM PUBLIC - EAST ENSLEY BRANCH
206,BIRMINGHAM PUBLIC - EAST LAKE BRANCH
207,BIRMINGHAM PUBLIC - EASTWOOD BRANCH
208,BIRMINGHAM PUBLIC - ENSLEY BRANCH
209,BIRMINGHAM PUBLIC - FIVE POINTS WEST BRANCH
210,BIRMINGHAM PUBLIC - INGLENOOK BRANCH
211,BIRMINGHAM PUBLIC - NORTH AVONDALE BRANCH
212,BIRMINGHAM PUBLIC - NORTH BIRMINGHAM REGIONAL BRANCH
213,BIRMINGHAM PUBLIC - POWDERLY BRANCH
214,BIRMINGHAM PUBLIC - PRATT CITY BRANCH
215,BIRMINGHAM PUBLIC - SMITHFIELD BRANCH
216,BIRMINGHAM PUBLIC - SOUTHSIDE BRANCH
217,BIRMINGHAM PUBLIC - SPRINGVILLE ROAD REGIONAL BRANCH
218,BIRMINGHAM PUBLIC - TITUSVILLE BRANCH
219,BIRMINGHAM PUBLIC - WEST END BRANCH
220,BIRMINGHAM PUBLIC - WOODLAWN BRANCH
221,BIRMINGHAM PUBLIC - WYLAM BRANCH
222,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY
223,FORT PAYNE - DEKALB COUNTY BOOKMOBILE
224,COLLINSVILLE PUBLIC LIBRARY
225,GERALDINE PUBLIC LIBRARY
226,RAINSVILLE PUBLIC LIBRARY
227,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM
228,ATMORE PUBLIC LIBRARY
229,BREWTON PUBLIC LIBRARY
230,FLOMATON PUBLIC LIBRARY
231,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY
232,GADSDEN - ETOWAH COUNTY PUBLIC - EAST GADSDEN BRANCH
233,HOYT WARSHAM ALABAMA CITY BRANCH LIBRARY
234,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY
235,RAINBOW CITY PUBLIC LIBRARY
236,DEMOPOLIS PUBLIC LIBRARY
237,MARENGO COUNTY PUBLIC LIBRARY
238,MARSHALL COUNTY COOPERATIVE LIBRARY
239,ARAB PUBLIC LIBRARY
240,BOAZ PUBLIC LIBRARY
241,GUNTERSVILLE PUBLIC LIBRARY
242,ALBERTVILLE PUBLIC LIBRARY
243,HARRISON REGIONAL LIBRARY SYSTEM
244,HARPERSVILLE PUBLIC LIBRARY
245,WESTOVER PUBLIC LIBRARY
246,ALABASTER - ALBERT L. SCOTT LIBRARY
247,CALERA PUBLIC LIBRARY
248,COLUMBIANA PUBLIC LIBRARY
249,HELENA - JANE B. HOLMES PUBLIC LIBRARY
250,VINCENT - LALLOUSE MCGRAW PUBLIC LIBRARY
251,PARNELL MEMORIAL LIBRARY
252,PELHAM PUBLIC LIBRARY
253,WILSONVILLE - VERNICE STOUDENMIRE LIBRARY
254,NORTH SHELBY COUNTY LIBRARY
255,MT LAUREL LIBRARY
256,ALICEVILLE PUBLIC LIBRARY
257,CARROLLTON PUBLIC LIBRARY
258,GORDO - RUTH HOLLIMAN MEMORIAL PUBLIC LIBRARY
259,REFORM PUBLIC LIBRARY
260,ST. CLAIR COUNTY LIBRARY
261,ASHVILLE PUBLIC LIBRARY
262,MOODY - DORIS STANLEY MEMORIAL LIBRARY
263,ODENVILLE PUBLIC LIBRARY
264,PELL CITY PUBLIC LIBRARY
